id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
0,0.4650373387644263,0.0,0.0947490505429393,1.0,0.0625,1.0,0.3387096774193548,0.4199135587855152,0.3109243697478991,0.2857142857142857,0.1,0.7157497303128371,0.1427604871447902,0.4621438263229308,0.7142857142857143,0.0625,0.1111111111111111,1.0,0.0,1.0,2
3,0.4650373387644263,1.0,0.9435506972174824,1.0,0.0,0.0,0.0967741935483871,0.433991666663723,0.957983193277311,0.0,0.95,0.8451995685005395,0.5087956698240866,0.2396200814111262,0.6428571428571429,1.0,0.6666666666666665,1.0,0.0,1.0,3
4,0.992532247114732,1.0,0.9441301320385,1.0,0.0,0.0,0.064516129032258,0.911989122933803,0.3529411764705882,0.1428571428571428,0.75,0.19417475728155345,0.1427604871447902,0.4621438263229308,0.9285714285714284,0.75,0.4999999999999999,1.0,0.0,1.0,1
5,0.4528173794976239,1.0,0.972988145834424,1.0,0.1875,0.0,0.5,0.0142728714395123,0.4369747899159665,1.0,0.2,0.23894282632146704,0.4411366711772666,0.4567164179104478,0.7142857142857143,0.1875,0.9444444444444444,1.0,0.0,0.0,2
7,0.4650373387644263,1.0,0.8431575152563873,0.0,0.25,1.0,0.1612903225806451,0.1378721765015556,0.4621848739495798,0.7142857142857142,0.25,0.19417475728155345,0.951962110960758,0.4621438263229308,0.7857142857142857,0.4375,0.2222222222222222,1.0,1.0,1.0,0
8,0.4650373387644263,1.0,0.0144189552265628,0.0,0.125,0.0,0.8225806451612904,0.4311415372873399,0.1848739495798319,0.5714285714285714,0.7000000000000001,0.6774541531823085,0.951962110960758,0.4621438263229308,0.7857142857142857,0.375,0.6111111111111112,1.0,1.0,1.0,1
9,0.9904955872369312,1.0,0.0204517919063766,1.0,0.1875,1.0,0.0161290322580645,0.013621756931474,0.991596638655462,0.4285714285714285,0.95,0.03451995685005391,0.759810554803789,0.9109905020352782,0.7142857142857143,0.1875,0.2222222222222222,1.0,1.0,0.0,3
11,0.4317718940936863,0.0,0.0143804154276817,0.0,0.0,0.0,0.0,0.8477057221591348,0.8067226890756302,0.8571428571428572,0.8500000000000001,0.26591154261057176,0.8788903924221922,0.8146540027137043,0.5714285714285714,0.4375,0.2777777777777777,1.0,1.0,1.0,2
14,0.9714867617107942,1.0,0.2839109727324439,1.0,0.0,0.0,0.4032258064516129,0.0105841814407178,0.7478991596638654,0.7142857142857142,0.05,0.5544768069039914,0.8119079837618404,0.0051560379918588,0.3571428571428571,0.1875,0.9444444444444444,1.0,0.0,0.0,2
16,0.3455532926001358,1.0,0.5370165194917516,1.0,0.0,1.0,0.935483870967742,0.074239820020274,0.453781512605042,0.2857142857142857,0.1,0.033441208198489704,0.3389715832205683,0.5267299864314791,0.3571428571428571,0.3125,0.1111111111111111,1.0,1.0,0.0,0
17,0.130346232179226,0.0,0.0142660093160955,1.0,0.0,1.0,0.2903225806451612,0.0187053895328856,0.2100840336134454,0.0,0.2,0.27777777777777773,1.0,0.0051560379918588,0.1428571428571429,0.25,0.2777777777777777,1.0,0.0,0.0,2
19,0.8995247793618465,0.0,0.0142679504838519,1.0,0.3125,1.0,0.2903225806451612,0.0192357348400196,0.0420168067226891,0.0,0.2,0.27777777777777773,1.0,0.0051560379918588,0.1428571428571429,0.25,0.2777777777777777,1.0,0.0,0.0,2
20,0.3455532926001358,0.0,0.3679904342327035,1.0,0.0,1.0,0.7903225806451613,0.0586369556111818,0.0168067226890756,0.1428571428571428,0.05,0.007551240560949202,0.148849797023004,0.4621438263229308,0.9285714285714284,0.125,0.5555555555555556,1.0,0.0,0.0,2
21,0.3455532926001358,0.0,0.6310373136773828,1.0,0.1875,0.0,0.8225806451612904,0.1197996035384783,0.5546218487394957,0.5714285714285714,0.8,0.5960086299892126,0.0906630581867388,0.0664857530529172,0.7857142857142857,0.0,1.0,1.0,1.0,0.0,2
22,0.8995247793618465,0.0,0.0142787742055895,1.0,0.3125,1.0,0.8387096774193549,0.0192288710877606,0.1596638655462184,0.0,0.55,0.14617044228694712,1.0,0.0051560379918588,0.1428571428571429,0.0,0.9444444444444444,1.0,0.0,0.0,2
